Produk,Karbon_kg_per_kg,Kategori
Kacang Macadamia,4.3,kacang
Biji Wijen,2.8,biji
Biji Bunga Matahari,1.9,biji
Biji Chia,1.6,biji
Biji Flax,1.45,biji
Biji Labu,1.35,biji
Ikan Bandeng,3.3,protein_hewani
Ikan Gurame,3.6,protein_hewani
Ikan Mas,3.4,protein_hewani
Ikan Patin,3.3,protein_hewani
Ikan Mujair,3.5,protein_hewani
Ikan Tongkol,5.8,protein_hewani
Ikan Tenggiri,6.2,protein_hewani
Ikan Kembung,4.9,protein_hewani
Cumi-cumi,3.8,protein_hewani
Gurita,4.1,protein_hewani
Kepiting,5.6,protein_hewani
Lobster,12,protein_hewani
Kerang,2.9,protein_hewani
Tiram,1.8,protein_hewani
Rumput Laut,0.15,protein_nabati
Tahu Sutra,1.7,olahan
Tempe Gembus,1.1,olahan
Oncom,1.3,olahan
Buah Naga,0.62,buah
Buah Markisa,0.65,buah
Quinoa,2.5,biji_bijian
Amaranth,1.8,biji_bijian
Millet,1.3,biji_bijian
Buckwheat,1.45,biji_bijian
Barley,1.55,biji_bijian
Rye,1.6,biji_bijian
Oats,1.35,biji_bijian
Spelt,1.7,biji_bijian
Teff,1.25,biji_bijian
Freekeh,1.65,biji_bijian
Daging Rusa,18,protein_hewani
Daging Kelinci,4.4,protein_hewani
Daging Bison,12.5,protein_hewani
Daging Kuda,15,protein_hewani
Daging Unta,16.5,protein_hewani
Daging Burung Puyuh,5.3,protein_hewani
Daging Angsa,8.9,protein_hewani
Daging Bebek,6.8,protein_hewani
Daging Kalkun,6.5,protein_hewani
Daging Burung Dara,5.8,protein_hewani
Keju Mozzarella,11.5,lemak
Keju Cheddar,13.2,lemak
Keju Parmesan,14.8,lemak
Keju Feta,10.5,lemak
Keju Ricotta,9.8,lemak
Keju Cottage,8.9,lemak
Keju Gouda,12.3,lemak
Keju Edam,11.8,lemak
Keju Brie,13.5,lemak
Keju Camembert,12.9,lemak
Minyak Kanola,3.55,minyak
Minyak Bunga Matahari,3.6,minyak
Minyak Kacang Tanah,3.8,minyak
Minyak Safflower,3.4,minyak
Minyak Grapeseed,3.9,minyak
Minyak Avocado,4.2,minyak
Minyak Rice Bran,3.3,minyak
Minyak Mustard,3.7,minyak
Minyak Palm Kernel,6.5,minyak
Minyak Soybean,4.1,minyak
Buah Kiwi,0.75,buah
Buah Persik,0.68,buah
Buah Plum,0.72,buah
Buah Apricot,0.65,buah
Buah Ceri,0.85,buah
Buah Blueberry,0.78,buah
Buah Raspberry,0.82,buah
Buah Blackberry,0.8,buah
Buah Cranberry,0.7,buah
Buah Pomegranate,0.88,buah
Buah Fig,0.92,buah
Buah Dates,1.2,buah
Buah Prune,1.1,buah
Buah Lychee,0.76,buah
Buah Longan,0.74,buah
Buah Mangosteen,0.55,buah
Buah Jackfruit,0.7,buah
Buah Breadfruit,0.58,buah
Buah Carambola,0.62,buah
Buah Guava,0.48,buah
Asparagus,0.85,sayur
Artichoke,0.92,sayur
Zucchini,0.38,sayur
Eggplant,0.4,sayur
Brussels Sprouts,0.95,sayur
Kale,0.6,sayur
Spinach,0.35,sayur
Arugula,0.42,sayur
Endive,0.38,sayur
Radicchio,0.45,sayur
Beetroot,0.48,sayur
Radish,0.32,sayur
Turnip,0.35,sayur
Rutabaga,0.4,sayur
Parsnip,0.42,sayur
Fennel,0.38,sayur
Celery Root,0.45,sayur
Okra,0.5,sayur
Snow Peas,0.55,sayur
Sugar Snap Peas,0.58,sayur
Jicama,0.3,sayur
Kohlrabi,0.35,sayur
Bok Choy,0.32,sayur
Collard Greens,0.4,sayur
Mustard Greens,0.38,sayur
Swiss Chard,0.42,sayur
Watercress,0.28,sayur
Daikon,0.3,sayur
Bitter Melon,0.35,sayur
Bottle Gourd,0.32,sayur
Ridge Gourd,0.34,sayur
Ivy Gourd,0.36,sayur
Drumstick,0.4,sayur
Taro Leaves,0.38,sayur
Malabar Spinach,0.35,sayur
Chinese Broccoli,0.45,sayur
Yardlong Beans,0.48,sayur
Winged Beans,0.42,sayur
Lotus Root,0.5,sayur
Bamboo Shoots,0.52,sayur
